BOR;AN;nofinesset;nofinessej;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2018;150000040;150780096;1;0;16;;0;1308;2367;2;2;3;3;2.51;2.51;;;1;1;5;2;5;0;0;3;1;2;2;0;0;4.48;9;2.9;6.66;0;0;6.63
MCOPED;2018;160000253;160000451;1;;12;6;600;1691;3366;2;2;5;5;5.15;5.15;1;1;;;12;1;4;;;11;9;3;3;;;18.84;7;4.14;6.52;;;17.71
MCOPED;2018;170000087;170024194;1;0;28;5;932;1930;4859;7;7;3;3;7.8;7.8;1;1;0;0;6;2;11;;1;10;3;9;6;;;8.17;5;8.98;13.92;;0.4;12.04
MCOPED;2018;170000103;170780175;1;1;25;;0;2772;5698;12;10;2;2;7.23;6.89;1;1;0;0;18;10;11;9;0;5;9;14;13;0;0;8.2;2;7.67;11.88;0.96;0;3.96
MCOPED;2018;170000152;170780225;1;0;12;2;84;1321;3105;4;3;3;3;3.67;3.37;1;1;1;1;3;11;10;;;6;2;5;6;;1;3.41;1;16.06;13.85;;0.6;6.7
MCOPED;2018;180000010;180000028;1;0;20;3;252;1651;2729;;;7;7;4.02;4.02;0;0;1;1;3;1;3;;;2;4;7;3;;;6.69;4;6.69;6.96;;;4.99
MCOPED;2018;180000200;180000051;1;0;6;1;31;755;1394;0;0;3;3;1.29;1.29;;;;;2;0;2;0;0;3;5;0;2;0;0;6.41;1;0;2.64;0;0;3.71
MCOPED;2018;190000018;190000042;1;0;20;4;172;1479;3959;6;5;3;3;4.13;3.73;0;0;1;1;13;5;17;;;6;0;2;;;1;12.65;2;6.65;17.28;;0.86;7.13
MCOPED;2018;190000026;190000059;1;0;6;2;22;742;2025;4;4;2;2;4.89;4.89;0;0;1;1;3;10;7;;;3;2;1;1;;1;2.7;4;5.38;4.56;;0.4;2.53
MCOPED;2018;210012670;210011367;1;0;10;;0;717;1602;6;6;;;6;6;1;1;0;0;2;2;3;;;1;3;2;2;;1;3.68;;2.95;4.36;;0.14;0.5
MCOPED;2018;210987558;210780581;1;1;50;10;3914;4693;15047;45;24;;;11.92;8.53;1;1;0;0;35;36;29;19;5;60;;;;;;28.23;;30.32;23.96;16.44;2.3;52.18
MCOPED;2018;210987657;210012175;1;1;14;0;0;1199;3110;4;4;1;1;3.45;3.45;0;0;1;1;4;5;10;;;6;2;;1;;;4.38;2;5.78;10.03;;0.33;4.38
MCOPED;2018;210987699;210780706;1;0;3;0;44;266;464;2;2;0;0;0.54;0.54;0;0;1;1;10;0;0;0;0;20;0;0;0;0;0;1.26;0;0;0;0;0;2.09
MCOPED;2018;220000012;220000020;1;1;20;4;1529;3364;9186;8;8;4;4;9.64;9.64;1;;0;;;;;;;;;1;;;;;;0.26;;;;
MCOPED;2018;220000095;220000046;1;0;3;0;0;417;705;3;;0;;3;;0;;1;;3;;4;;;0;3;;4;;;6.05;1;;5.78;;;0.47
MCOPED;2018;220000343;220000079;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;220000368;220000103;1;0;8;;0;823;1706;;;2;2;1.82;1.49;0;0;1;1;4;1;0;;;3;2;0;1;;;5.61;11;1;0.33;;;8.98
MCOPED;2018;230000820;230780041;1;0;10;0;0;701;1537;6;5;;;3.44;3.44;;;;;7;5;5;;;10;;;1;;;6.43;2;5;5.91;;;10.45
MCOPED;2018;240000372;240000059;1;0;13;0;0;793;1616;2;2;2;2;3.04;3.04;0;0;1;1;2;1;0;0;0;7;9;0;0;0;0;8.28;2;0.87;0.08;0;0;6.53
MCOPED;2018;240000489;240000117;1;1;14;4;375;1978;5415;3;3;3;3;5.39;5.39;1;1;0;0;4;4;2;0;0;3;1;1;1;0;0;4.42;0;4.89;2.23;0;0;1.69
MCOPED;2018;250000700;250000452;1;0;14;;0;1188;2807;2;;3;;1.59;;0;0;1;1;5;1;8;;;14;4;1;5;;1;4.42;2;1.2;5.18;;0.04;3.13
MCOPED;2018;250006954;250000015;1;1;70;16;3881;5536;18680;7;7;28;26;17.44;16.63;0;0;1;1;18;12;14;0;1;15;20;30;27;4;1;32.84;21;29.16;33.77;1.53;1.4;28.27
MCOPED;2018;260000013;260000021;1;1;29;6;361;3325;7497;11;11;7;7;4.34;4.34;1;0;1;0;;;;;;;;;;;;5;;16.5;18.15;;;1
MCOPED;2018;260000120;260016910;1;0;11;2;373;1140;2696;0;0;4;4;2.8;2.8;0;0;1;1;5;1;;;1;8;1;3;;;;5.8;9;2.92;;;1;14.2
MCOPED;2018;260000138;260000047;1;0;21;0;0;1770;2730;3;3;2;2;4;4;0;0;1;1;5;3;7;0;0;3;5;5;7;0;0;8.66;2;6.38;12.3;0;0;4.83
MCOPED;2018;270000359;270023724;1;1;18;0;0;1796;3580;13;13;5;5;8.71;8.71;1;1;0;0;8;2;4;;1;5;1;1;6;;;7.28;3;2.8;7.55;;1;6.6
MCOPED;2018;280000084;280000183;1;1;25;;0;1595;4452;;;9;;3.5;;1;;0;;9;5;9;;;13;;1;6;;;9.25;1;3.58;12.53;;;12.72
MCOPED;2018;280504267;280000134;1;1;17;3;622;1589;3997;10;10;2;2;4.41;4.41;1;1;1;1;12;6;15;;;7;9;4;5;;;18.06;6;7.67;18.33;;;13.03
MCOPED;2018;290000025;290020700;1;1;24;2;477;3078;7010;9;9;9;8;14.02;13.82;1;1;;;16;9;12;0;0;6;3;5;8;1;1;9.51;7;6.2;9.12;0.2;0.25;6.17
MCOPED;2018;290000033;290021542;1;0;16;0;307;1030;2447;2;2;4;4;4.57;4.57;0;0;0;0;1;4;3;;;3;1;11;4;;;2.12;6;12.52;6.2;;;7.39
MCOPED;2018;290000058;290000017;1;;50;11;2968;5688;14982;10;8;4;2;13.35;9.36;1;1;1;1;23;3;13;;0;14;19;7;10;;1;32.92;14;10.24;20.62;;0.2;23.29
MCOPED;2018;2A0000022;2A0000014;1;0;15;;0;1625;2719;;;4;4;2.2;2.2;0;0;1;1;2;3;1;;;;5;6;17;;;4;5;5.08;8.3;;;2.25
MCOPED;2018;2B0000012;2B0000020;1;0;16;1;18;1339;2287;5;4;5;1;7.92;5.42;0;;0;;6;4;10;0;1;3;;2;2;0;2;6.08;12;4.87;11.13;0;1.5;7.07
MCOPED;2018;300000023;300780046;1;0;14;0;0;1623;2753;5;5;0;0;3.66;3.66;0;0;1;1;6;3;6;1;0;15;3;7;0;1;1;6.46;2;7.07;5.07;0.19;0.25;12.16
MCOPED;2018;300000031;300780053;1;0;11;1;56;970;2393;2;;0;;3.26;;0;0;1;1;4;3;9;0;0;5;4;4;0;0;1;6.22;1;7.34;7.09;0;0.3;4.7
MCOPED;2018;300002508;300000213;1;0;;15;2;0;0;;;1;;0.15;;0;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2018;300782117;300780038;1;1;40;9;1371;3782;7392;11;10;3;2;10;8.1;1;1;0;0;12;16;15;0;0;16;4;3;8;0;1;14.15;6;18.45;21.36;0;1.03;19.69
MCOPED;2018;310000310;310780671;1;1;2;0;0;98;120;1;;2;;2.77;;;;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2018;310016977;310781406;1;1;183;39;8002;14775;42851;17;13;67;35;40.26;25.21;1;1;1;1;76;125;152;7;;36;20;42;18;4;9;82.65;14;126.89;149.19;9.4;3.99;37.94
MCOPED;2018;310026083;310026075;1;1;2;5;4614;786;988;14;8;10;;19;8;0;0;1;1;;3;;;;1;;6;4;4;1;;1;5.8;1;1;0.1;1.5
MCOPED;2018;310780101;310026794;1;0;;;0;3;5;1;1;3;3;3.3;3.3;1;1;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2018;310780150;310788799;1;0;7;6;1257;858;1486;7;;;;7;;0;;1;;;10;;;;;;;;;;;;10;;;;
MCOPED;2018;310780259;310000096;1;;2;1;135;114;285;;;4;2;0.5;0.5;0;0;1;1;2;2;;;2;;;;;;;0.5;;0.5;;;0.1;
MCOPED;2018;310783048;310781406;1;1;16;21;5123;1542;3534;;;7;6;3.88;3.48;1;1;1;1;11;10;13;;;4;2;3;;;1;11.56;;10.54;11.47;;0.56;4.01
MCOPED;2018;320000086;320780117;1;;14;0;0;1059;1977;3;3;3;3;3.65;3.65;0;0;1;1;3;7;6;;;;1;2;3;;;4.2;2;8.3;8.5;;;0.94
MCOPED;2018;330000555;330781204;1;1;6;;0;613;1342;3;3;;;2.59;2.59;;;1;1;1;2;2;;;2;1;2;1;;1;1.8;;4.54;2.97;;0.1;0.6
MCOPED;2018;330000605;330781253;1;1;15;2;589;2333;4092;;;11;11;3.77;3.77;1;1;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2018;330780479;330000274;1;0;5;5;0;475;742;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;
MCOPED;2018;330781360;330781196;1;;101;24;7615;13330;37867;26;26;8;7;27.84;26.61;0;0;1;1;36;62;50;2;3;57;;16;5;4;5;29.23;14;69.74;46.07;2.64;5.07;65.78
MCOPED;2018;330783648;330781196;1;;12;5;1160;1039;5237;2;;6;;2.5;;0;;1;;11;4;;;1;14;13;4;;;;17.4;10;6.33;;;0.4;15.06
MCOPED;2018;330802752;330781196;1;0;21;6;2038;413;6559;6;;1;;5.4;;0;;1;;28;2;;;;14;;;;;7;20.25;8;2;;;3.5;18.25
MCOPED;2018;340000025;340022722;1;0;0;4;1289;0;0;0;;9;4;1.31;0.96;0;0;1;;1;0;0;0;0;2;1;0;0;1;2;1.12;10;0;0;0.05;0.69;5.24
MCOPED;2018;340000033;340780055;1;1;23;1;164;2901;4288;;;12;12;5.5;5.5;1;1;0;0;;18;12;;1;11;;4;4;;;;3;13.09;9.4;;1;9.98
MCOPED;2018;340000223;340011295;1;0;14;0;0;1011;2061;1;1;2;2;2.92;2.92;;;;;6;2;4;0;0;6;4;2;2;0;0;7.15;3;5.41;4.68;0;0;7.94
MCOPED;2018;340022979;340000306;1;0;5;0;0;12;25;;;3;3;1;1;1;1;1;1;;4;2;;;1;;1;;;;;;4.34;2;;;1
MCOPED;2018;340780634;340000272;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;340782085;340780477;1;0;16;4;647;1574;3779;10;6;5;4;6.03;5.03;0;0;1;1;4;8;7;;5;5;;;1;;;4.2;4;8.1;9.1;;3.7;4.7
MCOPED;2018;340785161;340780477;1;;42;4;1079;4925;10502;14;2;28;7;18.1;5.81;1;1;1;1;14;54;38;;;14;1;10;3;;;12.36;7;52.43;38.77;;;16.99
MCOPED;2018;340796663;340780477;1;0;48;18;4192;4404;14503;;;;;;;;;;;12;51;35;;3;15;4;13;9;1;1;13.5;8;57.2;42.7;0.3;1.5;14.6
MCOPED;2018;350000147;350000022;1;0;12;2;66;1359;2363;;;7;7;4.2;4.2;0;0;1;1;1;4;7;;;3;0;10;8;;;1.34;4;11.76;13.66;;;3.97
MCOPED;2018;350000154;350000030;1;1;5;1;3;719;1457;2;2;2;2;1.35;1.35;0;0;1;1;3;3;5;;;13;3;4;3;;;1.8;9;1.4;1.9;;;6.3
MCOPED;2018;350000162;350000048;1;0;9;1;14;611;1386;2;2;;;1.38;1.38;;;1;1;2;3;5;;;4;2;3;2;;;1.45;;5.47;5.15;;;3.18
MCOPED;2018;350000188;350000055;1;0;5;0;0;484;773;2;2;3;3;3.55;3.55;0;0;1;1;2;4;0;;;21;2;2;0;;;3.99;4;5.2;0.15;;;6.71
MCOPED;2018;350000741;350005179;1;0;;2;95;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;8;1;0;0.6;0.9;4.26
MCOPED;2018;350007084;350005179;1;1;82;2;1061;7061;22356;62;26;16;8;19.66;13.36;1;1;0;0;28;38;39;0;3;46;16;62;23;0;3;33.95;19;81.29;54.1;0;3.67;47.36
MCOPED;2018;360000137;360000053;1;;21;0;0;1004;2509;5;5;;;4.28;4.28;0;0;1;1;8;4;4;;;3;1;;;;;8.5;1;4.29;4;;;3.91
MCOPED;2018;370000499;370000481;1;1;121;23;4079;7964;22435;64;30;38;17;70.48;33.4;0;0;1;1;75;28;47;0;1;65;61;22;27;0;4;109.91;55;40.84;65.89;0;1;94.45
MCOPED;2018;380000034;380780049;1;;20;;0;1722;3869;2;1;7;6;6.21;4.71;1;1;0;0;2;8;0;0;0;7;0;3;0;0;0;0.23;3;8.57;0;0;0;9.01
MCOPED;2018;380000067;380780080;1;1;88;23;6140;8091;25305;34;23;23;15;42.52;29.47;1;1;1;1;30;59;48;3;3;29;20;36;35;2;4;38.19;16;87.06;69;4.53;4.82;41.87
MCOPED;2018;380000174;380781435;1;1;14;2;42;1478;2899;;;8;8;1.85;1.85;0;0;0;0;8;4;5;;;3;2;;4;;;6.48;8;4.25;7.11;;;6.53
MCOPED;2018;380000406;380784751;1;1;11;1;146;1255;2212;3;3;11;11;7.57;7.57;;;;;1;7;6;0;0;1;5;4;4;0;1;5.79;3;8.21;8.48;0;0.25;1.07
MCOPED;2018;390000040;390780146;1;0;16;0;0;1284;2359;4;4;;;4.01;4.01;0;0;1;0;;;;;;;11;11;34;;;4.87;17;5.27;5.81;;;5.31
MCOPED;2018;390000222;390780609;1;;16;0;0;1266;2621;4;4;4;4;5.37;5.37;0;;1;1;4;7;4;;2;4;4;5;4;;;7.77;2;9.37;7.92;;1;5.8
MCOPED;2018;400000105;400780193;1;;17;;143;1653;2985;1;1;4;4;2.19;2.19;0;0;1;1;0;11;13;0;0;7;1;4;2;1;1;0.06;3;14.77;14.17;0.2;0.5;8.11
MCOPED;2018;400000139;400011177;1;;16;2;370;1158;2444;6;6;2;2;6.04;6.04;1;;;;2;5;4;0;0;1;3;1;3;0;1;4.1;8;6.89;6.41;0;0.5;4.76
MCOPED;2018;410000020;410000087;1;1;12;4;140;1566;4316;0;0;3;3;1.85;1.85;1;1;0;0;0;0;0;0;0;0;8;11;0;0;0;7.44;14;9.33;0;0;0;12.13
MCOPED;2018;410000046;410000103;1;0;8;0;0;689;1424;3;3;;;3;3;0;0;1;1;2;2;5;;;1;1;1;2;;;3.63;2;2.86;6.71;;;1.97
MCOPED;2018;420000010;420780033;1;1;22;0;0;1793;4873;9;9;1;1;3.09;2.8;1;1;0;0;7;6;15;1;;7;4;3;4;1;;9.2;3;8.7;13.76;0.2;;6.22
MCOPED;2018;420000226;420013831;1;0;8;;0;1062;1754;;;3;3;1.7;1.7;0;0;1;1;5;5;5;;;10;4;2;5;;;4.06;3;4.46;7.18;;;6
MCOPED;2018;420000234;420780652;1;;7;1;63;931;1455;1;;4;;2.5;;0;0;1;1;4;4;;;;4;7;8;;;1;7.19;4;7.52;;;0.5;5.36
MCOPED;2018;420780637;420002495;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;420782559;420784878;1;0;;1;225;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;420785354;420784878;1;1;65;7;2372;5817;16198;35;22;9;5;14.82;9.85;1;1;1;1;42;11;35;0;1;36;29;14;19;0;2;61.65;10;19.44;42.29;0;1.2;27.62
MCOPED;2018;430000117;430000018;1;0;17;;0;1972;2665;1;1;2;1;1.26;0.76;0;0;1;1;2;0;0;0;0;1;0;3;0;0;1;2.78;10;2.25;0.04;0;0.7;4.04
MCOPED;2018;440000016;440000057;1;1;24;2;1330;2706;6091;10;10;1;1;7.63;7.63;1;1;0;0;5;2;6;;;1;5;13;13;;2;7.11;5;11.01;16.35;0.14;0.66;4.76
MCOPED;2018;440000271;440000289;1;1;111;29;8046;10893;35385;64;43;10;10;25.79;17.41;;;;;70;61;60;0;0;59;43;42;25;1;2;99.57;13;82.89;76.67;0.33;0.32;65.38
MCOPED;2018;440000503;440000313;1;1;4;;0;508;1049;;;3;3;2.12;2.12;0;0;1;1;;;;;;1;8;1;3;;2;6.24;3;0.31;1.16;;0.25;2.2
MCOPED;2018;450000047;450000096;1;1;20;0;0;1618;2770;1;1;2;2;3.7;3.7;0;;1;;2;2;5;1;;;6;1;4;1;;7.09;;2.82;8.38;1.4;;
MCOPED;2018;450000062;450000104;1;1;13;;0;1473;2413;;;7;7;2.25;2.25;1;1;0;0;9;4;6;;;6;7;3;3;;;13.42;4;7.04;8.04;;;8.32
MCOPED;2018;450002613;450000088;1;1;55;6;1897;5492;13784;0;0;37;20;12.56;7.28;1;1;1;1;36;30;37;0;0;10;0;1;1;0;6;31.42;4;29.06;35.25;0;2.53;11.56
MCOPED;2018;460000110;460780216;1;0;10;0;157;619;1194;3;3;1;1;3.8;3.8;0;0;1;1;1;6;5;0;0;3;0;2;1;0;0;0.75;1;6.74;5.46;0;0;3.09
MCOPED;2018;470000423;470016171;1;0;10;2;507;1135;3675;2;2;10;10;6.69;6.69;1;1;;;1;8;8;;0;1;6;6;3;;2;4.84;20;10.74;9.03;;1.28;7.18
MCOPED;2018;470000431;470000324;1;0;7;0;0;673;1551;2;2;1;1;2.66;2.66;0;0;1;1;1;3;11;;;;2;1;7;;1;2.04;9;3.29;17.46;;0.15;4.16
MCOPED;2018;470000480;470001660;1;0;14;2;57;854;2215;2;2;0;0;2.5;2.5;0;0;1;1;6;3;2;;0;10;2;0;1;0;0;5.66;0;2.21;1.82;0.34;0;9.09
MCOPED;2018;480000017;480780097;1;0;6;0;80;378;701;1;1;1;;1.16;1;;;1;;2;9;1;;;6;1;3;;;1;2.23;3;11.67;1;;0.25;5.88
MCOPED;2018;490000049;490000031;1;1;62;12;3383;5122;15904;25;22;13;7;28.65;24;1;1;1;1;5;4;12;0;0;19;23;31;14;1;0;16.63;23;18.14;22.69;0.2;0;27.59
MCOPED;2018;490000635;490000676;1;0;20;2;258;2139;4688;7;6;4;4;3.85;3.68;1;1;0;0;6;2;6;;;2;6;6;7;;;10.77;3;6.96;11.4;;;4.75
MCOPED;2018;490001765;490528452;1;0;5;1;126;698;1408;;;7;7;1.04;1.04;1;1;1;0;1;2;4;;;3;1;1;2;;;3.03;3;1.63;5.76;;;4.03
MCOPED;2018;500000021;500000054;1;0;15;;0;1413;2996;8;8;2;2;7.54;7.54;1;1;0;0;2;;5;;;7;13;10;6;;1;13.66;5;8.64;7.68;;1;12.68
MCOPED;2018;500000187;500000013;1;1;27;2;253;1884;6150;2;2;6;6;6.98;6.98;1;1;1;1;7;9;3;0;;15;3;3;1;0;1;8.61;4;10.78;3.95;0;0.5;17.47
MCOPED;2018;500000450;500000112;1;1;22;0;66;1502;4253;4;4;3;3;6.57;6.57;1;1;0;0;5;6;6;;;4;7;5;8;;1;4.26;;4.77;9.51;;0.75;2.56
MCOPED;2018;510000169;510000037;1;0;14;0;134;1286;3020;5;5;1;1;4.39;4.39;;;;;3;3;4;;;1;5;;5;;1;6.18;11;3.69;6.78;;0.43;5.95
MCOPED;2018;510000235;510000060;1;0;10;;0;693;2098;1;1;4;3;2.57;2.54;0;;1;;2;3;2;;;2;3;;5;;;3.79;4;2.77;5.75;;;3.58
MCOPED;2018;510000250;510000078;1;0;0;0;0;118;295;0;0;0;0;0.47;0.47;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0.75;0;0;1;0;0;0.33
MCOPED;2018;510002470;510000029;1;1;52;15;3872;4675;14956;26;13;2;2;13.53;5.18;1;1;0;0;10;15;14;0;0;18;11;5;9;0;0;16.75;4;16.17;18.53;0;0;15.59
MCOPED;2018;510004302;510000029;1;0;6;;0;241;1521;8;8;;;1.75;1.75;1;1;0;0;7;6;2;0;0;6;3;3;4;0;0;8.75;5;8.1;4.26;0;0;7.71
MCOPED;2018;510024979;510000532;1;0;6;0;0;98;146;7;;;;7;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;520000027;520780032;1;;17;0;0;927;3072;2;2;;;2.5;2.5;0;0;1;1;7;5;10;;;2;2;1;4;;;8.79;2;5.3;12.74;;;3.86
MCOPED;2018;520000068;520780073;1;0;10;2;133;830;2354;2;2;3;3;3.18;3.18;;;;;7;2;4;;;1;7;1;3;;;11.93;;2.86;6.56;;0.35;1
MCOPED;2018;530000264;530000371;1;;18;4;392;1924;4533;5;4;2;2;5.32;5;;;;;6;8;15;0;0;6;1;5;0;0;1;6.83;1;10.34;12.5;0;0.25;6.23
MCOPED;2018;540000015;540023264;1;1;1;2;204;137;162;;;3;3;0.22;0.22;1;1;1;1;1;1;;;;1;;;;;;1;;1;;;;1
MCOPED;2018;540000155;540000080;1;0;5;0;0;596;1147;2;2;2;2;3;3;0;0;1;1;5;1;2;;;;;1;1;;;5;1;1.1;2.75;;;0.25
MCOPED;2018;540001070;540000767;1;1;0;;0;791;2011;2;1;1;1;2.9;1.9;0;0;1;1;4;5;3;;;2;3;4;3;;;6.91;4;8.42;5.95;;;4.77
MCOPED;2018;540001096;570010181;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;540002698;540023264;1;1;98;24;7056;9660;30563;15;6;88;45;48.06;30.83;1;1;1;1;16;7;33;;2;31;141;76;112;;7;132.15;62;65.22;125;;6.76;78.67
MCOPED;2018;550000012;550006795;1;0;11;2;170;792;2038;;;10;4;2.81;1.61;0;0;1;1;4;3;5;;;3;;1;4;;;4;;3.55;7.8;;;1.75
MCOPED;2018;550000434;550003354;1;1;14;;0;926;1540;;;5;5;0.86;0.86;0;0;1;1;;;;;;;16;4;7;3;;6.39;10;1.09;4.03;0.04;;2.73
MCOPED;2018;560000127;560023210;1;1;25;5;761;2404;6007;12;12;4;4;10.71;10.71;1;1;;;0;3;;0;0;14;4;30;;1;2;3.7;30;21.39;;0.63;0.49;29.69
MCOPED;2018;560000135;560005746;1;1;24;3;665;1715;5243;;;20;19;6.33;6.13;1;1;0;0;7;14;11;;1;7;;7;6;;1;6.32;4;20.5;16.28;;0.59;9.49
MCOPED;2018;560000143;560014748;1;0;15;2;92;747;1587;4;4;1;1;4.1;4.1;;0;;1;1;10;7;;;3;;3;3;;;1.04;2;12.41;9.98;;;4.82
MCOPED;2018;560008799;560013989;1;0;6;0;0;113;577;5;5;;;5;5;0;0;1;1;;5;6;;;;;1;13;;1;;;5.08;11.99;;0.1;
MCOPED;2018;570000059;570025254;1;1;24;0;0;2563;4943;3;3;2;2;3.88;3.88;0;0;1;1;10;11;2;0;0;9;4;5;5;1;0;10.87;10;15.3;6.07;0.15;0;15.59
MCOPED;2018;570000117;570015099;1;0;10;;0;936;2625;3;3;;;3;3;0;0;1;1;4;3;4;1;;1;1;2;4;1;1;4.8;5;4.3;6.75;0.05;0.5;3.85
MCOPED;2018;570000349;570005165;1;1;15;2;176;1652;4408;2;2;2;2;1.31;1.31;0;0;1;1;1;13;6;0;0;4;1;1;3;0;0;3.15;1;12.83;7.48;0;0;3.6
MCOPED;2018;570000646;570001115;1;;9;9;873;514;1013;2;2;;;2;2;1;1;1;1;2;2;3;;;3;3;2;;;;3.02;;2.46;3.01;;;2.53
MCOPED;2018;570000901;570000158;1;1;16;4;43;1446;3701;3;3;1;1;3;3;0;;1;;2;3;;;;7;3;5;;;;4;5;8.75;;;;10.82
MCOPED;2018;570026682;570005165;1;1;37;3;688;2317;8382;13;13;5;5;6.6;6.6;1;1;0;0;6;17;17;0;0;7;4;6;6;0;0;10.28;2;19.19;18.85;0;0;7.2
MCOPED;2018;580972693;580780039;1;1;20;;0;1549;3621;;;6;6;1.2;1.2;1;1;0;0;5;4;6;;1;;;1;1;;;5.8;2;6.06;8.42;;0.56;1.75
MCOPED;2018;590000121;590780227;1;1;11;1;77;1093;2287;7;7;1;1;7.48;7.48;1;1;0;0;1;11;5;;;3;;3;;;2;1.14;2;13.71;4.99;;0.93;5.88
MCOPED;2018;590000337;590781415;1;1;42;4;1156;3808;8546;5;5;7;6;7.61;7.46;0;0;1;1;12;2;11;;0;15;10;13;23;;1;17.21;3;11.06;23.62;;0.5;16.68
MCOPED;2018;590000428;590781605;1;0;22;4;217;2461;4286;2;2;3;3;4.1;4.1;0;0;1;1;2;7;13;;;4;1;6;5;;;2.18;4;10.64;14.04;;;6.36
MCOPED;2018;590000535;590781803;1;1;18;3;431;1645;4041;10;9;1;1;6.42;5.42;1;1;1;1;13;7;16;;;8;2;2;3;;;11.7;;9.14;18.95;;;8.17
MCOPED;2018;590000618;590782215;1;;52;10;2166;7502;13809;17;12;8;3;12.43;8.69;;;;;11;13;10;;1;22;3;13;1;;;12.73;9;19.55;9.8;;1;24.92
MCOPED;2018;590000758;590782637;1;0;13;2;0;2352;3103;;;10;10;3.02;3.02;0;0;1;1;4;10;15;;;3;3;6;6;;1;6.42;1;13.74;17.71;;0.5;3.8
MCOPED;2018;590001004;590783239;1;;34;;0;2854;6638;6;6;3;3;7.27;7.27;;;;;11;14;8;;;9;;1;;;2;5.61;2;13.41;6.74;;0.6;7.64
MCOPED;2018;590006607;590780193;1;;46;16;8276;6991;31258;25;18;15;10;27.28;19.77;;;;;65;68;77;0;1;85;26;61;49;0;1;77.56;47;118.03;116.82;0;1.15;116.18
MCOPED;2018;590787586;590780193;1;0;10;2;313;858;2752;5;3;;;3.55;2.64;;;;;2;5;5;0;0;7;3;6;4;0;0;5.13;4;9.39;8.75;0;0;10.81
MCOPED;2018;590796975;590780193;1;1;21;6;1466;6580;6540;9;9;3;3;5.89;5.89;;;;;6;5;7;0;1;11;2;3;5;0;6;6.54;16;7.85;11.67;0;4.16;19.23
MCOPED;2018;590797353;590051801;1;1;24;17;4897;3953;9220;10;3;6;2;9.22;4.76;;;;;7;10;10;;;;8;4;21;;;11.09;;13.34;24.95;;;
MCOPED;2018;590801106;590782421;1;;50;5;1162;5088;10776;7;7;7;7;12.64;12.64;1;1;0;0;10;7;13;0;0;10;7;12;9;0;1;13.34;3;16.51;20.36;0;0.8;11
MCOPED;2018;590804696;590781902;1;1;17;;0;1734;3321;6;6;1;1;5.02;5.02;0;0;1;1;2;5;4;;;11;2;7;0;;1;2.41;8;8.59;2.17;;0.25;12.4
MCOPED;2018;600000053;600101984;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2018;600000194;600100713;1;;28;3;154;2758;6414;5;5;5;5;6.78;6.78;;;;;9;3;6;0;1;8;3;0;3;0;0;10.99;3;2.54;7.1;0;1;11.23
MCOPED;2018;600000467;600101984;1;1;34;5;525;3849;9247;;;12;12;3.23;3.23;1;1;0;0;23;2;9;;;12;8;1;3;;1;27.88;5;1.52;13.34;;0.45;12.47
MCOPED;2018;600113476;600100721;1;1;20;2;332;1658;5134;5;5;2;2;6.64;6.64;;;;;15;2;5;0;0;2;7;1;8;0;2;16.94;1;2.8;12;0;1.1;2.67
MCOPED;2018;610000051;610780082;1;1;16;0;349;1332;2842;8;;;;8;;1;;0;;10;7;5;;;12;1;;3;0;;7.76;;6.42;6.66;0.1;;15.29
MCOPED;2018;610000069;610780090;1;0;20;0;0;1937;3704;3;1;1;1;3.65;1.6;0;0;1;0;8;1;1;;;11;2;3;;;2;9.42;3;3.48;1;;0.31;13.95
MCOPED;2018;610000119;610780165;1;;27;2;132;1904;5575;3;3;3;3;4.65;4.65;;;;;11;3;8;0;0;13;9;5;8;0;2;17.07;7;7.11;12.72;0;1.32;18.44
MCOPED;2018;610780116;610790594;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
