BOR;AN;nofinesset;nofinessej;INTMED;INTPHA;INTODO;INTGEN;INTURG;DOCJU;FFI;INTTOT
Q22;2020;140000233;140000118;1;;;5;;;1;7
Q22;2020;140000340;140025800;1;;;;;;;1
Q22;2020;140000373;140000159;;;;;;;5;5
Q22;2020;140000456;140000316;11;2;;1;;1;7;22
Q22;2020;140000555;140000639;31;4;;;;;2;37
Q22;2020;140002452;140025800;1;;;4;;;;5
Q22;2020;140004136;140000092;3;;;;;;;3
Q22;2020;140004383;140000100;12;3;;8;;1;1;25
Q22;2020;140017237;140003278;4;;;;;;;4
Q22;2020;140017278;610787285;2;;;;;;;2
Q22;2020;140024886;140000092;4;1;;4;3;1;;13
Q22;2020;140025255;310020383;;;;1;;;;1
Q22;2020;140026410;140026279;7;;;;;;;7
Q22;2020;150000032;150780088;;;;3;;;2;5
Q22;2020;150000040;150780096;12;0;0;22;6;1;37;78
Q22;2020;150780773;150780088;;;;;;;1;1
Q22;2020;150780823;150780096;;;;1;;;2;3
Q22;2020;160000253;160000451;63;0;0;0;0;2;3;68
Q22;2020;160000311;160000485;;;;;2;;;2
Q22;2020;160000337;160000493;1;0;0;0;0;0;0;1
Q22;2020;160000345;160000501;8;;;;;1;;9
Q22;2020;160009080;160001574;1;;;;;;;1
Q22;2020;160015368;160014411;;;;6;;;;6
Q22;2020;170000038;170780050;;;;3;;;;3
Q22;2020;170000087;170024194;46;3;;35;7;4;4;99
Q22;2020;170000095;170780167;;;;4;;;;4
Q22;2020;170000103;170780175;24;;;25;;1;;50
Q22;2020;170000129;170780191;5;;;4;;;1;10
Q22;2020;170000152;170780225;5;;;17;1;1;0;24
Q22;2020;170020994;170780175;3;;;;;;;3
Q22;2020;170782981;170024194;6;;;2;;1;0;9
Q22;2020;170783146;170780050;2;;;;;;;2
Q22;2020;180000010;180000028;17;0;0;5;1;1;24;48
Q22;2020;180000176;180001158;4;;;1;;;1;6
Q22;2020;180000200;180000051;0;0;0;4;0;0;3;7
Q22;2020;180000283;180000069;;;;4;;;;4
Q22;2020;180008278;750056335;1;;;;;;;1
Q22;2020;190000018;190000042;27;2;0;12;2;3;1;47
Q22;2020;190000026;190000059;5;1;;12;1;1;2;22
Q22;2020;190000091;190000075;1;;;;2;;1;4
Q22;2020;190011601;190000042;1;;;;;;;1
Q22;2020;210003059;210987400;;;;1;;;;1
Q22;2020;210012670;210011367;5;;;;;;;5
Q22;2020;210013157;210780706;;;;;;1;2;3
Q22;2020;210780144;750721235;1;;;;;;;1
Q22;2020;210780276;210003208;1;;;;;;;1
Q22;2020;210780292;210000105;1;;;;;;;1
Q22;2020;210780789;210003208;2;;;;;;;2
Q22;2020;210986089;210780581;9;;;4;;;;13
Q22;2020;210987046;210987038;1;;;;;;;1
Q22;2020;210987558;210780581;468;30;6;105;;28;9;646
Q22;2020;210987632;210780607;9;;;;;4;;13
Q22;2020;210987657;210012175;21;;;;6;;;27
Q22;2020;210987699;210780706;4;;;1;4;;;9
Q22;2020;210987731;210780417;37;2;;4;;;;43
Q22;2020;220000012;220000020;67;;;;;4;;71
Q22;2020;220000095;220000046;;;;17;;2;;19
Q22;2020;220000343;220000079;0;1;0;12;0;0;0;13
Q22;2020;220000368;220000103;1;1;;16;;;7;25
Q22;2020;220000541;220000152;;;;6;;;;6
Q22;2020;220001259;220005045;;;;1;;;;1
Q22;2020;220022800;220000673;1;;1;;;;;2
Q22;2020;230000820;230780041;10;2;0;0;4;0;0;16
Q22;2020;230000846;230780066;;;;;;;1;1
Q22;2020;230780082;750005068;2;;;;;;;2
Q22;2020;230782617;920028560;2;;;;;;;2
Q22;2020;240000091;240000034;1;;;;;;;1
Q22;2020;240000372;240000059;0;0;0;14;0;1;2;17
Q22;2020;240000463;240000083;3;;;;;1;;4
Q22;2020;240000489;240000117;19;1;;24;4;1;14;63
Q22;2020;240000687;240000448;4;;;;;;;4
Q22;2020;250000023;250000015;5;2;;;;;;7
Q22;2020;250000544;250002284;1;;;1;;;;2
Q22;2020;250000619;250000452;5;;;;;;;5
Q22;2020;250000718;250000460;6;1;;1;;2;;10
Q22;2020;250000759;250000569;;;;8;;;;8
Q22;2020;250000882;250002839;3;;;;;;;3
Q22;2020;250006954;250000015;342;29;;29;32;13;8;453
Q22;2020;250007234;250000452;2;;;;;;;2
Q22;2020;250014008;700004096;3;;;0;;;1;4
Q22;2020;260000013;260000021;44;0;0;20;9;2;13;88
Q22;2020;260000120;260016910;5;;;18;;;6;29
Q22;2020;260000138;260000047;10;2;0;15;4;2;16;49
Q22;2020;260000146;260000054;;;;2;;;;2
Q22;2020;260000203;260016910;;;;;;;4;4
Q22;2020;260000823;260003264;3;;;;;;1;4
Q22;2020;260003157;070001649;1;;;;;;;1
Q22;2020;270000359;270023724;40;;;;10;3;29;82
Q22;2020;270000367;270000086;2;0;0;0;0;0;0;2
Q22;2020;270000391;760024042;;;;3;;;;3
Q22;2020;270000425;270000102;4;;;;;;;4
Q22;2020;270000441;270000110;1;;;;;;;1
Q22;2020;270000458;270023724;5;;;;;1;2;8
Q22;2020;270000573;270000219;2;;;;;;1;3
Q22;2020;270000912;750814030;1;;;1;;;;2
Q22;2020;280000050;280000142;1;0;0;0;0;0;0;1
Q22;2020;280000084;280000183;8;;;6;2;1;42;59
Q22;2020;280000662;280500075;;;;3;;;2;5
Q22;2020;280502998;280000589;;;;1;2;;;3
Q22;2020;280504267;280000134;21;2;0;14;0;0;34;71
Q22;2020;280506015;280001264;;;;1;;;;1
Q22;2020;290000025;290020700;41;1;0;39;2;2;2;87
Q22;2020;290000033;290021542;32;0;0;8;;2;1;43
Q22;2020;290000058;290000017;95;5;6;16;7;3;2;134
Q22;2020;290000066;290020700;;;;2;;;;2
Q22;2020;290000173;290000041;3;0;0;12;0;0;0;15
Q22;2020;290000181;290000074;1;0;0;12;0;;0;13
Q22;2020;290000256;290000017;;;;4;;;1;5
Q22;2020;290000322;290000108;;;;2;;;;2
Q22;2020;290000728;750821092;15;1;1;26;1;1;;45
Q22;2020;290000785;220020739;;;;10;;;;10
Q22;2020;290000827;290000546;3;;;;;;;3
Q22;2020;290000918;290000298;5;;;2;;1;1;9
Q22;2020;290000934;560005746;;;;5;4;;;9
Q22;2020;290000975;290000546;3;;;;;;;3
Q22;2020;290004324;290000017;165;13;;17;16;9;8;228
Q22;2020;290004340;290000017;27;;;7;;;;34
Q22;2020;290004365;290000017;;;;2;;;;2
Q22;2020;2A0000022;2A0000014;;2;;20;;;3;25
Q22;2020;2A0000287;2A0000386;;1;0;;0;1;0;2
Q22;2020;2B0000012;2B0000020;0;1;0;17;8;0;0;26
Q22;2020;300000023;300780046;7;2;0;5;6;0;5;25
Q22;2020;300000031;300780053;0;1;0;11;0;;10;22
Q22;2020;300000064;300780087;2;;;;;;;2
Q22;2020;300000080;300780103;4;;;;;;;4
Q22;2020;300012499;300780046;0;0;0;1;0;0;0;1
Q22;2020;300780152;300017985;1;;;;;;;1
Q22;2020;300782117;300780038;140;13;;114;;17;11;295
Q22;2020;300782125;300780038;;;;;;1;;1
Q22;2020;300782141;300780038;8;;;4;;;;12
Q22;2020;310000310;310780671;1;;;9;;;;10
Q22;2020;310000369;310780754;15;1;;1;;;;17
Q22;2020;310019351;310781406;45;;;;;3;2;50
Q22;2020;310021571;310021563;2;;;;;1;;3
Q22;2020;310022298;310781406;19;;;;6;;2;27
Q22;2020;310025333;310781406;25;;;;1;;;26
Q22;2020;310026083;310026075;2;;;1;;;;3
Q22;2020;310780259;310000096;;;;3;;;;3
Q22;2020;310780366;310000153;;;;1;;;;1
Q22;2020;310780374;310000161;;;;2;;;;2
Q22;2020;310781067;310788898;10;0;;;0;;;10
Q22;2020;310781422;310781562;1;;;;;;;1
Q22;2020;310782339;310781406;2;;;;;;;2
Q22;2020;310782347;310789136;33;6;;;;;;39
Q22;2020;310782446;310782446;3;;;;;;;3
Q22;2020;310783048;310781406;227;;;6;;27;6;266
Q22;2020;310783055;310781406;171;85;23;3;;4;14;300
Q22;2020;310783097;750005068;1;;;;;;;1
Q22;2020;320000086;320780117;10;0;0;11;0;0;12;33
Q22;2020;320000094;320780125;2;0;0;0;0;0;0;2
Q22;2020;330000332;330780545;2;0;0;3;0;;0;5
Q22;2020;330000340;330780552;3;;;6;;;;9
Q22;2020;330000555;330781204;5;1;0;12;1;;;19
Q22;2020;330000571;330781220;;;;2;;;;2
Q22;2020;330000589;330027509;12;;;;;;;12
Q22;2020;330000597;330027509;1;;;0;;;0;1
Q22;2020;330000605;330781253;38;2;0;23;0;1;8;72
Q22;2020;330000613;330781261;;;;1;;;;1
Q22;2020;330000639;330781287;45;2;0;4;0;5;2;58
Q22;2020;330000647;330781295;6;;;;;3;1;10
Q22;2020;330000662;330781329;46;2;;;;;1;49
Q22;2020;330780081;330000043;1;;;;;;;1
Q22;2020;330780529;330796392;;;;;;;12;12
Q22;2020;330780636;330785072;2;;;;;;;2
Q22;2020;330781139;330056540;3;1;;;;;;4
Q22;2020;330781303;750821092;1;;;10;;;;11
Q22;2020;330781337;330781196;6;2;1;6;;2;;17
Q22;2020;330781352;330781196;73;5;2;40;;5;6;131
Q22;2020;330781360;330781196;414;60;21;182;;29;17;723
Q22;2020;330782582;330000928;1;;;;;;;1
Q22;2020;330783648;330781196;192;30;1;74;;7;11;315
Q22;2020;330783721;330781253;4;0;0;0;0;0;0;4
Q22;2020;330802752;330781196;7;;;3;;;;10
Q22;2020;340000033;340780055;18;6;;21;;;19;64
Q22;2020;340000173;340780451;0;0;0;1;0;0;0;1
Q22;2020;340000207;340780493;35;;;;;;5;40
Q22;2020;340000223;340011295;6;3;;17;;1;2;29
Q22;2020;340000231;340780535;;;;1;;;;1
Q22;2020;340001064;340013028;1;;;;;;;1
Q22;2020;340008275;340780477;11;;;1;1;;;13
Q22;2020;340015502;340000512;4;;;;1;;;5
Q22;2020;340016732;340780055;1;;;;;;;1
Q22;2020;340020445;340021559;;;;3;;;;3
Q22;2020;340022979;340000306;4;1;;;;;;5
Q22;2020;340780212;340796069;;;;;;;1;1
Q22;2020;340780485;340780477;21;1;;;;;1;23
Q22;2020;340780634;340000272;3;;;;1;;1;5
Q22;2020;340780642;340785856;8;;;4;;;;12
Q22;2020;340780667;340000280;3;1;0;0;0;;;4
Q22;2020;340780766;920030269;1;;;;;;;1
Q22;2020;340781608;340015171;0;;;;;;1;1
Q22;2020;340782036;340780477;72;16;;9;3;;18;118
Q22;2020;340782085;340780477;80;1;24;2;1;;9;117
Q22;2020;340785161;340780477;132;18;;26;33;;24;233
Q22;2020;340789981;340001866;1;;;;;;;1
Q22;2020;340796093;340796069;1;;;;;;;1
Q22;2020;350000063;220020739;3;;;;;;;3
Q22;2020;350000121;350000303;3;;;;;;;3
Q22;2020;350000139;350001137;6;;;1;;;;7
Q22;2020;350000147;350000022;25;1;0;17;0;0;1;44
Q22;2020;350000154;350000030;;;;15;;;;15
Q22;2020;350000162;350000048;;;;7;;;;7
Q22;2020;350000188;350000055;;;;10;;;;10
Q22;2020;350000337;350000246;28;3;;1;;4;1;37
Q22;2020;350000436;350002317;0;0;0;1;0;0;0;1
Q22;2020;350000444;350048518;;;;1;;;;1
Q22;2020;350000741;350005179;234;34;19;15;;;15;317
Q22;2020;350002192;220020739;1;;;5;;;;6
Q22;2020;350002200;350029948;1;;;;;;0;1
Q22;2020;350002234;750720575;1;;;;;;;1
Q22;2020;350002564;350046199;1;;;;;;;1
Q22;2020;350002812;350023503;22;2;;;;;;24
Q22;2020;350006771;350005179;4;;;7;;;;11
Q22;2020;350007084;350005179;104;;;19;;;4;127
Q22;2020;350008579;350039673;1;;;;;;;1
Q22;2020;350053013;350005179;;;;3;;;;3
Q22;2020;360000038;360000046;1;0;0;2;0;0;0;3
Q22;2020;360000137;360000053;7;0;0;8;1;0;26;42
Q22;2020;360000160;360000053;;;;;;;4;4
Q22;2020;360003149;360000053;;;;1;;;;1
Q22;2020;370000218;450018106;1;;;;;;;1
Q22;2020;370000374;750721334;2;;;;;;;2
Q22;2020;370000499;370000481;33;2;;4;3;;1;43
Q22;2020;370000515;370000481;1;;;4;;;;5
Q22;2020;370000531;370000606;0;0;0;15;0;;0;15
Q22;2020;370000580;370000564;2;;;;;;;2
Q22;2020;370000861;370000481;149;23;;12;6;9;14;213
Q22;2020;370000879;370000564;7;;;;;;2;9
Q22;2020;370000903;370000614;1;0;0;2;1;;2;6
Q22;2020;370000986;370000713;1;;;;;;;1
Q22;2020;370001109;370002701;3;;;;;;;3
Q22;2020;370001158;370004327;;;;1;;;;1
Q22;2020;370004301;370000614;;;;1;;;;1
Q22;2020;370004467;370000481;125;14;;12;7;7;7;172
Q22;2020;370005050;370000481;8;;;;;1;1;10
Q22;2020;370007569;370007528;1;;;;3;;;4
Q22;2020;370009938;440052041;1;;;;;;;1
Q22;2020;370013450;370002149;1;;;;;;;1
Q22;2020;370103673;370001638;1;;;;;;;1
Q22;2020;380000018;380780023;3;;;;;;2;5
Q22;2020;380000026;380780031;;;;1;;;;1
Q22;2020;380000034;380780049;41;0;0;0;0;2;8;51
Q22;2020;380000067;380780080;320;48;;28;;15;28;439
Q22;2020;380000075;380780098;1;;;;;;;1
Q22;2020;380000091;380780171;0;0;0;0;0;0;1;1
Q22;2020;380000109;380780213;;;;;;;1;1
Q22;2020;380000133;380780247;24;1;0;0;0;2;3;30
Q22;2020;380000174;380781435;22;3;;23;2;1;3;54
Q22;2020;380000406;380780080;10;1;;17;;;2;30
Q22;2020;380009928;380804542;5;;;;;;;5
Q22;2020;380012658;380012609;13;2;;8;4;;;27
Q22;2020;380020388;380780080;;;;2;;;;2
Q22;2020;380780312;750720575;4;;;;;1;;5
Q22;2020;380782722;380780080;20;1;;5;;2;1;29
Q22;2020;380785956;380795211;1;;;;;;;1
Q22;2020;380786442;380798025;1;;;;1;;;2
Q22;2020;390000040;390780146;8;;;12;1;0;5;26
Q22;2020;390000065;390780161;0;0;0;0;0;0;3;3
Q22;2020;390000164;390780476;12;;;1;;1;4;18
Q22;2020;390000222;390780609;6;;;10;;1;3;20
Q22;2020;400000113;400011177;1;0;0;0;0;0;0;1
Q22;2020;400000139;400011177;11;1;0;12;4;0;20;48
Q22;2020;410000020;410000087;43;0;0;11;0;2;15;71
Q22;2020;410000038;410000095;0;0;0;6;0;0;0;6
Q22;2020;410000046;410000103;2;;;2;4;;1;9
Q22;2020;410000053;410000111;;;;1;;;;1
Q22;2020;410000202;410000319;;;;1;;;;1
Q22;2020;410000293;410000491;1;;;;;;;1
Q22;2020;410000442;750005068;;;;1;;;;1
Q22;2020;410000475;410000475;1;;;;;1;;2
Q22;2020;410003768;410000095;2;0;0;0;0;0;0;2
Q22;2020;410004063;410000095;1;0;0;1;0;0;0;2
Q22;2020;420000010;420780033;23;1;1;30;6;2;6;69
Q22;2020;420000226;420013831;4;0;0;8;0;;1;13
Q22;2020;420000234;420780652;10;2;;22;;;;34
Q22;2020;420000242;420780660;1;;;1;;;;2
Q22;2020;420000267;420013831;0;0;0;12;0;0;2;14
Q22;2020;420010050;420787061;13;;;;;;;13
Q22;2020;420010241;420013492;;3;;21;;;2;26
Q22;2020;420010258;420010209;1;;;;;;;1
Q22;2020;420011413;420011405;;;;4;1;;;5
Q22;2020;420780637;420002495;23;0;0;0;3;;0;26
Q22;2020;420780678;420002495;;;;;;;4;4
Q22;2020;420782559;420784878;52;3;0;60;1;0;4;120
Q22;2020;420782567;420784878;5;0;0;8;0;0;0;13
Q22;2020;420784845;420780033;0;0;0;2;0;0;0;2
Q22;2020;420785354;420784878;233;10;0;32;13;9;9;306
Q22;2020;430000026;630786754;5;;;;;;;5
Q22;2020;430000109;430000372;1;;;;;;;1
Q22;2020;430000117;430000018;24;1;0;15;0;3;11;54
Q22;2020;430000190;430000034;;2;;3;;;;5
Q22;2020;440000016;440000057;63;2;1;8;12;5;;91
Q22;2020;440000024;440000065;;;;;;;2;2
Q22;2020;440000180;440000263;7;;;2;;;;9
Q22;2020;440000271;440000289;263;28;17;44;;14;6;372
Q22;2020;440000396;440053643;3;;;3;5;;;11
Q22;2020;440000453;440000289;5;;;3;;1;;9
Q22;2020;440000560;850009010;;;;2;;;;2
Q22;2020;440000883;440042141;;;;2;;;;2
Q22;2020;440001113;490017258;24;2;;;;;;26
Q22;2020;440001253;440028538;;;;1;;;;1
Q22;2020;440001287;440041531;;;;1;;;;1
Q22;2020;440001964;440003267;;;;1;;;;1
Q22;2020;440001972;440003309;7;;;2;;1;;10
Q22;2020;440003291;440000289;15;6;;;;1;;22
Q22;2020;440007607;440000057;3;;;;;;;3
Q22;2020;440012128;440003960;;;;1;;;;1
Q22;2020;440017440;440000057;;;;1;;;;1
Q22;2020;440017598;440000289;106;2;;8;;6;6;128
Q22;2020;440021392;440000289;26;;;1;;5;;32
Q22;2020;440029338;440053411;8;;;;;;;8
Q22;2020;440041580;440041572;1;1;;;;;;2
Q22;2020;440050433;440053429;5;;;;;;;5
Q22;2020;450000047;450000096;;;;3;;;3;6
Q22;2020;450000062;450000104;6;;;4;;;41;51
Q22;2020;450000070;450000112;;;;;;;2;2
Q22;2020;450000294;450000591;;;;;2;;;2
Q22;2020;450000930;450002423;9;0;0;0;0;0;1;10
Q22;2020;450002613;450000088;107;5;0;25;12;4;17;170
Q22;2020;450018528;370001638;1;;;;;;;1
Q22;2020;450019799;450000104;;;;;;;1;1
Q22;2020;460000045;460780083;0;0;0;1;0;0;2;3
Q22;2020;460000052;460780091;;;;;;;1;1
Q22;2020;460000110;460780216;15;0;0;7;0;;1;23
Q22;2020;470000423;470016171;14;2;0;24;0;0;17;57
Q22;2020;470000431;470000324;;;;11;;;4;15
Q22;2020;470000480;470001660;;;;5;3;1;3;12
Q22;2020;470000563;470000381;5;;;;;1;;6
Q22;2020;480000017;480780097;;;;2;4;;;6
Q22;2020;490000049;490000031;288;17;0;43;0;8;10;366
Q22;2020;490000106;490000163;11;1;;;;1;1;14
Q22;2020;490000155;490017258;23;2;;;;;;25
Q22;2020;490000601;490015856;2;;;;;;;2
Q22;2020;490000635;490000676;20;0;0;30;8;1;0;59
Q22;2020;490000643;440042844;1;;;1;;;;2
Q22;2020;490001765;490528452;2;;;25;;1;;28
Q22;2020;490002979;490535705;1;;;;;;;1
Q22;2020;490009248;490535168;;;;1;;;;1
Q22;2020;490014909;490008109;2;;;1;;;;3
Q22;2020;490015906;490000197;2;;;;;;;2
Q22;2020;490016334;490016326;;;;1;;;;1
Q22;2020;490016870;440052041;;;;1;;;;1
Q22;2020;490529005;490000031;1;;;7;;;;8
Q22;2020;490531910;490535093;9;;;;;;;9
Q22;2020;490540440;490004330;1;;;;;;;1
Q22;2020;500000021;500000054;18;;;16;;;3;37
Q22;2020;500000187;500000013;55;;;;;;13;68
Q22;2020;500000229;500000567;3;;;;;1;;4
Q22;2020;500000260;500000054;1;;;4;;1;;6
Q22;2020;500000427;500000096;0;0;0;1;0;0;0;1
Q22;2020;500000450;500000112;41;;;15;5;;;61
Q22;2020;500000476;500000138;2;;;;;;;2
Q22;2020;500000575;500000245;;;;;;;2;2
Q22;2020;500000591;500000393;3;;;;;;;3
Q22;2020;500010384;500010384;5;;;;;;1;6
Q22;2020;500021449;500018296;1;;;;;;;1
Q22;2020;510000169;510000037;19;1;;22;;;2;44
Q22;2020;510000219;510000052;16;1;;1;;2;;20
Q22;2020;510000235;510000060;11;1;;10;;;;22
Q22;2020;510000250;510000078;;;;2;;;1;3
Q22;2020;510000292;750720534;;;;1;;;;1
Q22;2020;510000516;510000136;30;1;;;;;;31
Q22;2020;510002298;750721334;2;;;;;;;2
Q22;2020;510002447;510000029;177;14;;10;2;4;9;216
Q22;2020;510002454;510000029;10;;;5;;;;15
Q22;2020;510002470;510000029;21;;;3;5;;1;30
Q22;2020;510004302;510000029;129;13;17;15;8;14;9;205
Q22;2020;510011679;510000029;;;;3;;;;3
Q22;2020;510012040;510000532;;;;4;;;;4
Q22;2020;510024359;920030269;;;;1;;;;1
Q22;2020;510025091;510000052;3;;;;;1;;4
Q22;2020;520000027;520780032;;;;7;0;;;7
Q22;2020;520000043;520780057;;;;3;;;;3
Q22;2020;520000068;520780073;6;;;10;;;3;19
Q22;2020;520000076;520780081;3;;;;;1;2;6
Q22;2020;530000017;530000025;1;0;0;20;0;1;0;22
Q22;2020;530000132;530007202;;;;1;;;;1
Q22;2020;530000140;530000058;;0;;1;;;;1
Q22;2020;530000173;530000074;;;;9;6;;;15
Q22;2020;530000181;530007202;;;;1;;;;1
Q22;2020;530000264;530000371;37;;;;7;1;3;48
Q22;2020;530031509;530000868;;;;1;;;;1
Q22;2020;540000015;540023264;43;5;;3;;1;;52
Q22;2020;540000023;540000049;12;;;;;;2;14
Q22;2020;540000155;540000080;2;2;;15;;1;6;26
Q22;2020;540000163;540023264;16;;;1;;;;17
Q22;2020;540000312;540000114;;;;1;;;;1
Q22;2020;540000395;540000122;1;;;;;;2;3
Q22;2020;540000478;540003449;5;;;;;;;5
Q22;2020;540000486;540000932;4;;;;;;;4
Q22;2020;540000585;540006707;;;;;;;1;1
Q22;2020;540000668;540006707;;;;;;;14;14
Q22;2020;540001070;540000767;;;;9;;;5;14
Q22;2020;540001138;540023264;98;6;8;14;;9;3;138
Q22;2020;540001286;540003019;36;2;;;;;1;39
