BOR;AN;nofinesset;nofinessej;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2015;130783293;130786049;1;26;1030;8375;;;;;;;;;;;130;59;167.54
MCOAVC;2015;140000027;140000035;1;2;203;603;2;2;0.32;;1;2;2;0.32;;;21;11;27.68
MCOAVC;2015;140000209;140000100;1;26;925;6441;4;1;1.8;0;1;4;1;1.8;0;1;28;18;29.2
MCOAVC;2015;160000253;160000451;1;10;627;3049;1;5;3.31;0;1;1;4;3.16;0;1;30;23;43.25
MCOAVC;2015;170000087;170024194;1;8;819;2437;6;1;3.02;0;0;6;1;3.02;;;23;1;20.22
MCOAVC;2015;170000103;170780175;1;;489;4547;4;0;2.54;0;1;2;0;1.8;0;1;22;9;25.64
MCOAVC;2015;180000010;180000028;1;12;572;3640;4;;1.3;0;1;4;;1.3;0;1;8;5;10.3
MCOAVC;2015;210987558;210780581;1;10;972;2975;6;;1.09;0;0;6;;1.09;0;0;19;;16.53
MCOAVC;2015;220000012;220000020;1;27;1398;9110;3;1;4;0;1;3;1;4;0;1;38;20;47.06
MCOAVC;2015;240000489;240000117;1;15;685;4737;4;0;2.54;0;1;4;0;2.54;;;10;2;10.65
MCOAVC;2015;250000114;900000365;1;12;323;3347;6;3;5.79;;;5;3;5.19;0;1;;;
MCOAVC;2015;250006954;250000015;1;24;851;8111;;7;3.55;1;0;;6;2.77;1;0;29;19;40.06
MCOAVC;2015;260000013;260000021;1;20;883;7399;8;;1.45;1;0;8;;1.45;1;0;20;10;26.99
MCOAVC;2015;280000084;280000183;1;5;351;1404;5;2;1.4;0;1;3;1;1.14;0;1;25;5;10.59
MCOAVC;2015;280504267;280000134;1;16;621;5047;5;;2.24;0;1;5;;2.24;0;1;10;3;12.62
MCOAVC;2015;290000025;290020700;1;6;714;4404;2;;1.5;0;1;2;;1.5;0;1;33;10;10.5
MCOAVC;2015;290004324;290000017;1;22;1112;7816;5;1;3.2;1;0;;;;1;0;;;
MCOAVC;2015;2A0000022;2A0000014;1;9;487;3208;1;1;1.5;0;1;;;;0;1;29;1;29.99
MCOAVC;2015;300782117;300780038;1;8;712;2629;7;5;10.15;1;0;7;5;10.15;1;0;16;2;20.3
MCOAVC;2015;310781000;310788880;1;15;263;1882;3;;3;;;3;;3;;;;;
MCOAVC;2015;310783048;310781406;1;69;3763;21820;11;;8.5;1;1;11;;8.5;1;1;101;21;110.74
MCOAVC;2015;320000086;320780117;1;14;1033;4225;3;;0.75;;;3;;0.75;;;9;;4.2
MCOAVC;2015;330781360;330781196;1;36;1932;11917;4;;2.5;;;3;;1.6;;;73;9;73.2
MCOAVC;2015;340000033;340780055;1;25;1175;8211;6;1;2.04;0;1;6;1;2.04;0;1;31;8;36.3
MCOAVC;2015;340015502;340000512;1;16;445;4072;5;1;5.5;0;1;5;1;5.5;0;1;5;3;6.8
MCOAVC;2015;340782085;340780477;1;4;697;1028;1;4;1.13;1;0;1;3;0.98;1;0;13;;12.37
MCOAVC;2015;350000147;350000022;1;14;820;4600;;5;2;0;1;;5;2;0;1;10;7;14.6
MCOAVC;2015;350000162;350000048;1;6;;;0;0;0;;;0;0;0;;;2;1;0.76
MCOAVC;2015;350000741;350005179;1;14;712;4169;2;;1;0;1;2;;1;0;1;67;37;87.52
MCOAVC;2015;360000137;360000053;1;16;;;;;;0;1;;;;0;1;1;1;1.46
MCOAVC;2015;370000861;370000481;1;27;1232;8422;6;3;6.9;0;1;6;3;6.9;0;1;38;14;49.42
MCOAVC;2015;380000067;380780080;1;27;874;9268;3;1;2.81;;;3;1;2.81;;;39;10;45.32
MCOAVC;2015;380000174;380781435;1;15;489;4020;5;1;1.84;0;1;4;1;1.47;0;1;25;20;17.34
MCOAVC;2015;390000040;390780146;1;3;334;692;;3;0.78;0;1;;1;0.06;0;1;;49;5.59
MCOAVC;2015;400000105;400780193;1;16;597;5412;;6;1.02;0;1;;5;0.97;0;1;18;14;27.27
MCOAVC;2015;400000139;400011177;1;16;558;4306;0;5;1.98;;;0;5;1.98;;;0;46;21.57
MCOAVC;2015;420785354;420784878;1;23;701;7584;3;;3;0;1;2;;2;;;33;13;36.79
MCOAVC;2015;440000016;440000057;1;14;702;4892;5;;5;;1;5;;5;;1;2;31;23.2
MCOAVC;2015;440017598;440000289;1;6;957;2071;7;;2.65;1;0;7;;2.65;1;0;22;11;29.34
MCOAVC;2015;450002613;450000088;1;16;824;4505;4;;1.97;0;1;2;;0.87;0;1;31;12;30.33
MCOAVC;2015;460000110;460780216;1;12;550;2804;2;0;2;0;1;2;0;2;0;1;27;3;28.48
MCOAVC;2015;470000423;470000316;1;18;818;4722;0;5;1.9;0;1;0;5;1.9;0;1;16;19;30.89
MCOAVC;2015;490000049;490000031;1;20;1140;5994;2;0;2;;;2;0;2;;;10;3;8.9
MCOAVC;2015;500000187;500000013;1;6;596;1951;6;1;6.4;0;1;6;1;6.4;0;0;7;9;13.35
MCOAVC;2015;500000450;500000112;1;16;633;5250;4;2;5.71;0;0;4;2;5.71;0;0;21;17;24.38
MCOAVC;2015;510004302;510000029;1;4;584;1159;1;0;0.5;0;1;1;0;0.5;0;1;9;4;7.45
MCOAVC;2015;540001138;540023264;1;81;3279;24695;0;5;1.45;1;1;;5;1.45;1;1;21;12;22.82
MCOAVC;2015;550000012;550006795;1;9;257;2442;5;;2.38;;;3;;0.75;0;1;113;16;120.76
MCOAVC;2015;550000434;550003354;1;4;392;3381;;5;1.69;0;1;;1;0.15;0;0;;50;11.36
MCOAVC;2015;560000127;560023210;1;16;829;5781;3;0;2;0;1;3;0;2;0;1;6;62;45.26
MCOAVC;2015;560000135;560005746;1;18;826;6464;3;3;3.33;0;1;3;3;3.33;0;1;22;7;9.9
MCOAVC;2015;560000143;560014748;1;15;500;4342;4;;1;;;4;;1;;;10;3;9.2
MCOAVC;2015;570000059;570025254;1;6;504;1819;2;;1.48;1;0;2;;1.48;1;0;5;11;11.1
MCOAVC;2015;570000091;750050759;1;0;217;2243;0;0;0.62;0;1;0;0;0.62;0;0;0;0;4.01
MCOAVC;2015;570026682;570005165;1;31;1208;10638;8;3;9;0;1;8;3;9;0;1;46;14;60.88
MCOAVC;2015;590000337;590781415;1;16;782;4781;3;1;3.85;0;1;1;0;1;0;1;13;4;15.73
MCOAVC;2015;590000535;590781803;1;16;635;4508;5;;0.19;1;1;5;;0.19;1;1;12;2;14.13
MCOAVC;2015;590000618;590782215;1;27;1272;9432;3;;3;0;0;3;;3;0;0;33;13;41.32
MCOAVC;2015;590780284;590051801;1;22;845;6865;3;1;2.66;0;1;3;1;2.66;0;1;18;27;26.84
MCOAVC;2015;590796975;590780193;1;42;1398;13961;8;1;5.79;;;8;1;5.79;;;61;17;67.99
MCOAVC;2015;590801106;590782421;1;23;804;6114;1;;1;;;1;;1;;;;;
MCOAVC;2015;590804696;590781902;1;12;358;2995;5;;2.27;0;1;4;;2;0;1;20;8;22.8
MCOAVC;2015;600000194;600100713;1;20;792;5877;3;0;3;0;1;2;0;2;0;1;26;7;27.95
MCOAVC;2015;600000467;600101984;1;4;186;831;4;;0.78;0;1;4;;0.78;0;1;5;1;5.86
MCOAVC;2015;600113476;600100721;1;4;429;1081;8;4;3.87;0;1;6;3;3.61;0;1;52;20;33
MCOAVC;2015;620000034;620100057;1;17;940;5701;;4;2.7;1;0;;3;2.2;1;0;31;7;29.07
MCOAVC;2015;620000224;620100651;1;8;583;2627;5;;1.85;0;1;5;;1.85;0;1;11;2;8.45
MCOAVC;2015;620000257;620100685;1;30;1112;9819;4;;4;1;0;4;;4;1;0;78;7;75.14
MCOAVC;2015;620000323;620101337;1;19;637;5368;6;1;5.26;;;;;;;;;;
MCOAVC;2015;620000653;620103440;1;18;880;6104;4;3;1.3;0;1;4;3;1.3;0;1;4;1;4.8
MCOAVC;2015;630000404;630780989;1;22;665;7759;5;1;4;0;0;5;1;4;0;0;28;17;38.55
MCOAVC;2015;640000162;640780417;1;6;915;4398;;;;;;;;;;;11;2;11.86
MCOAVC;2015;640000600;640781290;1;16;773;5113;3;;2;0;1;3;;2;0;1;9;5;12.94
MCOAVC;2015;650000417;650783160;1;12;571;4159;1;;0.3;0;1;1;;0.3;0;1;;;
MCOAVC;2015;660000084;660780180;1;8;1817;13114;7;3;8.7;;;7;3;8.7;;;54;6;35.41
MCOAVC;2015;670000025;670780055;1;;;;;;;;;;;;;;;;
MCOAVC;2015;670783273;670780055;1;48;1783;15968;11;1;10.32;1;0;9;1;9;1;0;99;21;109.18
MCOAVC;2015;680000684;680000973;1;15;521;5863;6;;6;0;1;6;;6;0;1;5;2;6
MCOAVC;2015;680004546;680020336;1;15;517;6143;4;0;2;0;1;3;0;1.4;0;1;10;7;15.64
MCOAVC;2015;690000575;690782222;1;14;614;4365;;;;;;;;;;;;;
MCOAVC;2015;690784178;690781810;1;35;1774;11639;2;4;3.2;1;0;2;4;3.2;1;0;54;3;58.74
MCOAVC;2015;690784194;690781810;1;14;271;4343;1;1;0.98;0;0;;1;0.45;0;0;10;3;14.05
MCOAVC;2015;710978263;710780958;1;5;744;1556;5;4;5.2;0;1;5;4;5.2;0;1;0;0;0
MCOAVC;2015;720000033;720000025;1;15;878;4304;;4;1.2;;;;4;1.2;;;1;47;21.46
MCOAVC;2015;730000031;730000015;1;24;605;5747;3;0;2.16;;1;0;0;0;;;67;13;67.82
MCOAVC;2015;740000237;740781133;1;15;623;4604;0;4;2.67;0;1;0;4;2.67;0;1;32;18;25.57
MCOAVC;2015;740781141;740790258;1;6;373;3032;4;;0.6;0;1;4;;0.6;0;1;;;
MCOAVC;2015;750000499;750140014;1;35;1635;11582;6;;5.05;1;1;6;;5.05;1;1;79;5;74.27
MCOAVC;2015;750000523;750150120;1;20;1261;9399;2;1;8.13;1;0;2;1;7.64;1;0;30;4;24.96
MCOAVC;2015;750000549;750150229;1;12;762;3273;1;;1;0;1;1;;1;0;1;32;6;37.03
MCOAVC;2015;750100042;750712184;1;35;1175;9884;6;3;6;1;0;6;3;6;1;0;45;2;45.8
MCOAVC;2015;750100091;750712184;1;24;1043;7825;2;4;3.3;1;0;2;4;3.3;1;0;36;9;41.36
MCOAVC;2015;750100125;750712184;1;26;1074;8893;5;4;7.6;1;1;5;4;7.6;1;1;59;3;59.6
MCOAVC;2015;750100232;750712184;1;28;941;8890;;12;5.53;1;0;;8;4.15;1;0;52;2;53.87
MCOAVC;2015;760000158;760780239;1;30;1531;10118;4;;3.3;;;4;;3.3;;;65;20;80.9
MCOAVC;2015;760805770;760780726;1;20;703;6600;4;2;3.63;0;1;4;2;3.63;0;1;24;23;32.62
MCOAVC;2015;770000446;770700185;1;26;708;8129;;6;1.17;1;;;6;1.17;1;;2;;0.51
MCOAVC;2015;780000287;780110011;1;12;649;4465;4;1;1.17;;;4;1;1.17;;;21;6;15.48
MCOAVC;2015;780000311;780001236;1;16;567;1531;5;3;4.41;0;1;5;3;4.41;0;1;37;7;34.03
MCOAVC;2015;780800256;780110078;1;24;1030;7258;11;5;10.09;;;11;5;10.09;1;;32;5;34.48
MCOAVC;2015;790000087;790000012;1;20;1176;6780;4;1;4.2;0;1;4;1;4.2;0;1;22;21;35.3
MCOAVC;2015;800000192;800000044;1;;;;;1;0.02;1;0;;1;0.02;1;0;;;
MCOAVC;2015;800006124;800000044;1;23;864;6487;3;21;7.42;1;0;3;15;6.71;1;0;36;9;42.2
MCOAVC;2015;810000224;810000471;1;4;342;1251;4;;3.25;0;1;4;;3.25;0;1;;;
MCOAVC;2015;810000505;810000331;1;6;465;1635;;;;0;1;;;;0;1;8;6;10.51
MCOAVC;2015;810000521;810000380;1;4;307;899;4;1;0.37;0;1;4;1;0.37;0;1;44;14;13.44
MCOAVC;2015;820000032;820000016;1;6;699;2449;4;1;0.6;0;1;4;1;0.6;0;1;23;2;18.35
MCOAVC;2015;830000345;830100616;1;16;823;5266;3;;0.95;;;;;;;;8;2;11.46
MCOAVC;2015;830100574;750821092;1;9;348;2213;3;;3.4;1;1;3;;3.4;1;1;22;;20.8
MCOAVC;2015;840001861;840006597;1;17;723;5993;5;;1.7;0;1;;;;;;38;11;13.09
MCOAVC;2015;850000142;850000019;1;10;330;3304;0;5;0.78;0;0;0;5;0.78;1;1;0;51;18.92
MCOAVC;2015;860000223;860013077;1;18;1041;7771;8;5;2.33;0;1;7;3;1.33;0;1;15;;15
MCOAVC;2015;870000064;870000015;1;26;1456;9046;6;0;1.71;1;0;6;0;1.71;1;0;23;3;28
MCOAVC;2015;880000021;880007059;1;4;332;3022;3;1;3.6;0;1;2;1;2.6;0;1;51;6;54.45
MCOAVC;2015;880000062;880780093;1;6;95;1104;;4;1;0;1;;;;;;30;7;5.42
MCOAVC;2015;910000306;910110063;1;14;639;6744;3;;1.52;0;1;3;;1.52;0;1;;3;1.53
MCOAVC;2015;910020254;910002773;1;24;864;9094;;;;;;;;;;;12;0;13.53
MCOAVC;2015;920000650;920150059;1;24;1016;7275;3;;3;0;0;3;;3;0;0;10;3;10.81
MCOAVC;2015;930000328;930110051;1;20;793;7974;9;1;9.3;1;0;9;1;9.3;1;0;1;;1
MCOAVC;2015;930000336;930110069;1;16;653;6387;6;4;8.2;1;1;6;4;8.2;1;1;30;;30
MCOAVC;2015;940100027;750712184;1;23;647;3425;4;;4;1;1;4;;4;1;1;37;2;38
MCOAVC;2015;940100043;750712184;1;36;1027;5647;3;3;4.5;1;0;3;3;4.5;;;53;;53
MCOAVC;2015;950000331;950110049;1;18;589;5178;4;3;5.67;;;4;3;5.67;;;31;12;36.87
MCOAVC;2015;950000364;950110080;1;26;950;7171;0;;;;;;;;;;;;
MCOAVC;2015;970100442;970100228;1;16;676;5666;3;3;3.9;1;1;3;3;3.9;1;1;15;1;15.5
MCOAVC;2015;970211215;970211207;1;15;432;4521;2;;1.3;0;1;2;;1.3;0;1;33;;31.31
MCOAVC;2015;970400024;970408589;1;17;609;4850;2;1;2.8;0;1;2;;2;0;1;15;5;17.9
MCOAVC;2015;970400057;970408589;1;19;1245;5856;3;;1;0;1;3;;1;0;1;20;;20
MCOAVC;2014;010000024;010780054;1;18;588;4567;4;1;2.1;0;1;4;1;2.1;0;1;28;16;39.03
MCOAVC;2014;020000162;020000063;1;6;534;1140;4;1;4.25;0;1;4;1;4.25;0;1;18;2;18.1
MCOAVC;2014;020000519;020000261;1;14;430;1063;4;;4;0;1;4;;4;0;1;11;1;12.8
MCOAVC;2014;030000087;030780118;1;10;391;3468;3;0;0.9;0;0;3;0;0.9;0;0;10;7;14.15
MCOAVC;2014;060001450;060785011;1;18;785;3947;0;7;3.97;0;1;0;4;2.87;;;34;8;39.11
MCOAVC;2014;100000090;100000017;1;16;229;1803;;3;1;0;1;;2;0.75;0;1;;19;4.79
MCOAVC;2014;110000023;110780061;1;14;542;2756;;6;1;0;1;;6;1;0;1;;62;18.04
MCOAVC;2014;110000056;110780137;1;4;39;126;4;2;0.96;0;1;4;2;0.96;0;1;21;6;6.29
MCOAVC;2014;120000039;120780044;1;4;249;1551;5;;5;;;5;;5;;;8;46;39.17
MCOAVC;2014;130000409;130041916;1;2;346;485;0;2;0.44;;1;;;;;1;;16;6.17
MCOAVC;2014;130783293;130786049;1;26;1116;7180;32;10;18.17;;;30;6;14.94;;;;;
MCOAVC;2014;140000027;140000035;1;2;243;559;3;1;0.6;0;1;2;1;0.3;0;1;38;16;35.58
MCOAVC;2014;140000209;140000100;1;16;867;5189;4;1;1.72;0;1;4;1;1.72;0;1;20;13;25.25
MCOAVC;2014;160000253;160000451;1;10;632;3384;4;1;3.14;0;1;4;0;2.99;0;1;37;15;42.86
MCOAVC;2014;170000087;170023279;1;8;753;2377;6;1;3.02;0;0;6;1;3.02;0;0;21;1;22.72
MCOAVC;2014;170000103;170780175;1;12;583;5106;3;0;3.19;0;1;3;0;3.19;0;1;18;4;21.84
MCOAVC;2014;180000010;180000028;1;12;525;3585;3;0;2.7;0;1;;;;;;8;7;11.9
MCOAVC;2014;210987558;210780581;1;8;838;2447;7;;1.11;0;0;7;;1.11;0;0;16;;15.08
MCOAVC;2014;220000012;220000020;1;27;1377;8977;3;1;4;0;1;3;1;4;0;1;33;20;49.88
MCOAVC;2014;240000489;240000117;1;15;665;4836;3;0;1.5;;;;;;;;9;2;10.13
MCOAVC;2014;250000114;900000365;1;28;333;3649;4;;0.12;;;3;;4;;;;;
MCOAVC;2014;250006954;250000015;1;24;859;8191;;9;4.2;0;1;;8;2.9;0;1;29;14;34.26
MCOAVC;2014;260000013;260000021;1;16;766;6376;7;;2.35;;;7;;2.35;;;15;5;17.66
MCOAVC;2014;280000084;280000183;1;5;386;1393;5;2;1.39;0;1;3;1;0.88;0;1;29;2;11.08
MCOAVC;2014;280504267;280000134;1;16;528;4852;5;;2.5;0;1;5;;2.5;0;1;47;6;26.16
MCOAVC;2014;290000025;290020700;1;6;713;4573;2;0;1.96;0;1;2;0;1.96;0;1;29;12;10.31
MCOAVC;2014;290004324;290000017;1;22;1020;6559;5;1;3.2;1;0;;;;1;0;28;9;33.62
MCOAVC;2014;2A0000022;2A0000014;1;9;477;3431;5;;6.04;0;1;;;;0;1;28;2;30.34
MCOAVC;2014;300782117;300780038;1;8;637;2754;5;5;8.15;1;0;5;5;8.15;1;0;23;1;24.12
MCOAVC;2014;310781000;310788880;1;15;243;1709;3;;3;0;1;3;;3;0;1;31;;31
MCOAVC;2014;310783048;310781406;1;69;3062;16997;10;;8.9;1;1;10;;8.9;1;1;96;17;87.66
MCOAVC;2014;320000086;320780117;1;14;866;3901;3;;0.75;1;;3;;0.75;1;;9;;4.2
MCOAVC;2014;330781360;330781196;1;36;1765;9515;4;;2.55;;;3;;1.6;;;75;10;69.16
MCOAVC;2014;340000033;340780055;1;25;1090;8275;6;1;5.15;0;1;5;1;4.15;0;1;35;9;35.18
MCOAVC;2014;340015502;340000512;1;16;367;1578;4;;4;;;4;;4;;;;;
MCOAVC;2014;340782085;340780477;1;4;688;1024;1;4;1.4;;;1;2;1.1;;;13;;12.58
MCOAVC;2014;350000147;350000022;1;14;803;4485;3;;1.43;0;1;3;;1.43;0;1;10;7;14.6
MCOAVC;2014;350000741;350005179;1;14;759;4431;2;;1.83;0;1;2;;1.83;0;1;70;30;83.95
MCOAVC;2014;370000861;370000481;1;27;1299;7543;;2;1.5;1;0;;2;1.5;1;0;35;17;42.46
MCOAVC;2014;380000067;380780080;1;28;695;8102;4;1;3.29;1;0;3;1;2.63;1;0;36;7;39.18
MCOAVC;2014;380000174;380781435;1;15;508;3920;4;1;1.6;0;1;3;1;1.22;0;1;27;18;18.79
MCOAVC;2014;390000040;390780146;1;3;350;718;;3;0.78;0;1;;1;0.06;0;1;1;43;23.77
MCOAVC;2014;400000105;400780193;1;16;609;5232;;6;1.07;0;1;;6;1.07;0;1;22;14;25.3
MCOAVC;2014;400000139;400011177;1;16;577;4261;4;1;4.2;0;1;4;;4;0;1;35;7;27.42
MCOAVC;2014;420785354;420784878;1;23;699;7867;3;;2.93;0;1;2;;2;0;1;36;10;37.52
MCOAVC;2014;440000016;440000057;1;14;595;4111;5;;5;;;5;;5;0;1;2;31;25.66
MCOAVC;2014;440017598;440000289;1;6;914;1810;8;;2.7;1;0;8;;2.7;1;0;21;13;30.23
MCOAVC;2014;450002613;450000088;1;16;917;4509;3;0;1.5;0;1;1;0;0.4;0;1;31;17;31.46
MCOAVC;2014;460000110;460780216;1;12;566;2576;2;0;2;0;1;2;0;2;0;1;27;3;29.3
MCOAVC;2014;470000423;470000316;1;18;724;4464;5;0;1.9;0;1;5;0;1.9;0;1;29;9;31.35
MCOAVC;2014;490000049;490000031;1;20;1181;6434;2;0;2;0;1;1;0;1;0;1;8;4;8.7
MCOAVC;2014;500000187;500000013;1;6;597;2094;6;1;5.94;0;1;6;;5.94;;1;10;7;15.94
MCOAVC;2014;500000450;500000112;1;20;501;4882;3;4;4.9;0;1;3;4;4.9;0;1;23;16;18.22
MCOAVC;2014;510004302;510000029;1;4;493;1080;1;0;0.5;0;1;1;0;0.5;0;1;0;0;0
MCOAVC;2014;540001138;540023264;1;32;3528;24047;4;1;1.28;1;1;4;1;1.28;1;1;20;6;18.48
MCOAVC;2014;560000127;560023210;1;20;931;6883;3;0;2;0;1;3;0;2;0;1;58;20;67.19
MCOAVC;2014;560000135;560005746;1;18;710;6244;3;3;3.69;0;1;3;3;2.72;0;1;19;5;9.9
MCOAVC;2014;560000143;560014748;1;15;485;4620;;;;;;;;;;;;;
MCOAVC;2014;570000091;750050759;1;8;1130;9758;3;1;3.38;0;1;3;1;3.38;0;1;12;10;19.25
MCOAVC;2014;570026682;570005165;1;31;1246;10823;7;2;7.5;1;0;7;2;7.5;1;0;49;13;60.05
MCOAVC;2014;590000337;590781415;1;16;599;2744;4;1;3.43;0;1;3;;2.33;0;1;13;4;15.73
MCOAVC;2014;590000535;590781803;1;16;658;4511;4;;1;1;1;4;;1;1;1;13;;15.22
MCOAVC;2014;590000618;590782215;1;27;1284;9114;3;;3;0;0;3;;3;0;0;32;13;41.55
MCOAVC;2014;590780284;590051801;1;22;840;6711;3;1;2.66;0;1;3;1;2.66;0;1;19;26;26.73
MCOAVC;2014;590796975;590780193;1;42;1395;14096;8;;4.67;;;8;;4.67;;;58;15;65.75
MCOAVC;2014;590801106;590782421;1;20;724;6553;4;7;5.45;;;4;7;5.45;;;;;
MCOAVC;2014;590804696;590781902;1;12;407;3465;5;;1;0;1;4;;1;0;1;26;5;24.75
MCOAVC;2014;600000194;600100713;1;20;741;6551;4;;4;0;1;3;;3;0;0;16;4;11.59
MCOAVC;2014;600000467;600101984;1;4;182;889;3;1;0.76;0;1;3;1;0.76;0;1;5;2;6.94
MCOAVC;2014;600113476;600100721;1;4;471;1298;5;3;3.99;0;1;5;2;3.92;0;1;51;15;31.85
MCOAVC;2014;620000034;620100057;1;17;975;5284;;3;2;1;;;3;2;1;;27;4;30.2
MCOAVC;2014;620000224;620100651;1;8;603;2821;5;4;6.4;0;1;5;2;5.2;0;1;3;8;7.71
MCOAVC;2014;620000257;620100685;1;30;1088;9029;4;0;4;1;0;4;0;4;1;0;77;2;76.27
MCOAVC;2014;620000323;620101337;1;16;475;3285;6;0;6;0;1;6;0;6;0;1;18;15;29.53
MCOAVC;2014;620000653;620103440;1;18;836;6635;6;1;1.3;0;1;6;1;1.3;0;1;2;2;3.4
MCOAVC;2014;630000404;630780989;1;22;618;6773;1;1;1.23;0;0;1;1;1.23;;;31;12;38.33
MCOAVC;2014;640000162;640780417;1;6;911;4759;7;6;4.24;0;1;7;6;4.24;0;1;28;3;28.64
MCOAVC;2014;640000600;640781290;1;16;793;5164;3;;2;0;1;3;;2;;;11;1;12.36
MCOAVC;2014;650000417;650783160;1;4;554;3877;1;;0.3;0;1;1;;0.3;0;1;11;;11.65
MCOAVC;2014;660000084;660780180;1;8;1760;13055;7;3;8.7;;;7;3;8.7;;;47;5;51
MCOAVC;2014;670783273;670780055;1;48;1702;15791;14;0;9.44;1;0;11;;8;1;0;96;22;105.98
MCOAVC;2014;680000684;680000973;1;15;518;5298;6;;6;0;1;6;;6;0;1;5;3;6.81
MCOAVC;2014;680004546;680000486;1;15;480;5859;4;0;2;0;1;3;0;1.4;0;1;13;6;17.06
MCOAVC;2014;690000575;690782222;1;14;609;4729;;;;;;;;;;;;;
MCOAVC;2014;690784178;690781810;1;35;1770;11826;;;;;;3;2;3.55;1;0;53;5;55.74
MCOAVC;2014;710978263;710780958;1;4;628;1195;4;1;1;0;1;4;1;1;0;1;;;
MCOAVC;2014;720000033;720000025;1;15;923;4295;0;4;1.11;0;1;0;4;1.11;;;1;47;21.97
MCOAVC;2014;730000031;730000015;1;16;567;5329;5;0;4.22;;;0;0;0;;;65;8;64.83
MCOAVC;2014;740000237;740781133;1;15;670;4436;3;1;2.75;0;1;3;1;2.75;0;1;27;17;21.99
MCOAVC;2014;740781141;740790258;1;6;25;148;1;;0.04;0;1;1;;0.04;0;1;;;
MCOAVC;2014;750000499;750140014;1;35;1635;11559;5;3;4.17;1;0;0;0;0;;;79;5;74.5
MCOAVC;2014;750000523;750150120;1;20;1151;8860;2;1;5.26;1;0;2;1;5.26;1;0;22;9;20.19
MCOAVC;2014;750000549;750150229;1;9;543;2479;1;;1;0;1;1;;1;0;1;34;10;31.06
MCOAVC;2014;750100042;750712184;1;35;1222;9266;6;3;6;1;0;6;3;6;1;0;45;2;45.8
MCOAVC;2014;750100091;750712184;1;24;634;5001;2;4;3.9;1;0;2;4;3.9;1;0;56;4;31.6
MCOAVC;2014;750100125;750712184;1;26;932;8508;3;5;5.5;;1;3;5;5.5;;1;55;6;59.2
MCOAVC;2014;750100232;750712184;1;10;1088;9343;;;;;;;;;;;;;
MCOAVC;2014;760000158;760780239;1;30;1383;9848;4;;3.3;;;4;;3.3;;;74;20;86.53
MCOAVC;2014;760805770;760780726;1;20;653;6524;3;;1.97;0;1;3;;1.97;0;1;25;20;31.04
MCOAVC;2014;770000446;770700185;1;26;802;8053;;7;1.6;1;0;;7;1.6;1;0;11;8;10.55
MCOAVC;2014;780000287;780110011;1;12;437;923;4;1;1.38;;;4;1;1.38;;;20;10;15.68
MCOAVC;2014;780000311;780001236;1;23;549;1373;4;1;4.37;0;1;4;1;4.37;0;1;33;8;31.19
MCOAVC;2014;780800256;780110078;1;24;879;6687;;;;;;6;6;9.96;;;33;5;33.53
MCOAVC;2014;790000087;790000012;1;20;1226;6503;4;1;4.2;0;1;4;1;4.2;0;1;25;15;34.75
MCOAVC;2014;800000192;800000044;1;20;551;1603;;;6.27;1;0;;;6.27;1;0;;;35.01
MCOAVC;2014;800006124;800000044;1;23;151;554;15;2;6.27;;;15;2;6.27;;;40;8;9.27
MCOAVC;2014;810000224;810000471;1;4;315;1277;3;;3;0;1;3;;3;0;1;;;
MCOAVC;2014;810000505;810000331;1;6;446;1690;4;3;0.57;0;1;4;3;0.57;0;1;11;2;11.43
MCOAVC;2014;810000521;810000380;1;4;300;810;4;1;0.36;0;1;4;1;0.36;0;1;37;21;13.78
MCOAVC;2014;820000032;820000016;1;6;624;2337;3;2;0.57;0;1;3;2;0.57;0;1;25;3;18.59
MCOAVC;2014;830000345;830100616;1;16;821;5290;2;;0.8;;;;;;;;8;10;11.28
MCOAVC;2014;830100574;750821092;1;7;342;2245;4;;3;1;1;4;;3;1;1;25;;25
MCOAVC;2014;840001861;840006597;1;17;671;5419;5;0;1.7;0;1;;;;;;36;8;17.78
MCOAVC;2014;850000142;850000019;1;10;311;2897;;4;1;0;0;;4;1;0;1;;53;18.62
MCOAVC;2014;860000223;860013077;1;18;938;7515;5;;2.76;0;1;4;;1.76;0;1;15;;15
MCOAVC;2014;870000064;870000015;1;26;1371;9331;6;0;2.46;1;0;6;0;2.46;1;0;24;5;22.82
MCOAVC;2014;880000021;880007059;1;4;273;2462;3;3;5;0;1;;;;;;50;7;53.34
MCOAVC;2014;880000062;880780093;1;6;96;1104;;4;1;0;1;;;;;;27;10;5.75
MCOAVC;2014;910000306;910110063;1;14;536;5899;;;;0;1;;;;0;1;1;3;2.25
MCOAVC;2014;910020254;910002773;1;32;803;8760;;;;;;;;;;;5;21;15.1
MCOAVC;2014;920000650;920150059;1;24;986;7144;3;;3;1;1;3;;3;1;1;8;1;8.8
MCOAVC;2014;930000328;930110051;1;12;622;5899;9;1;9.3;1;;9;1;9.3;1;;1;;1
MCOAVC;2014;930000336;930110069;1;34;650;6498;8;;1.57;;;;;;;;;;
MCOAVC;2014;940100027;750712184;1;7;479;2477;2;;2;1;1;2;;2;1;1;13;;13
